hf_repo_id,n_runs,seeds,fries_mean,fries_std,FAIRNESS_O_std,FAIRNESS_S_std,FAIRNESS_D_std,ROBUSTNESS_O_std,ROBUSTNESS_S_std,ROBUSTNESS_D_std,INTEGRITY_O_std,INTEGRITY_S_std,INTEGRITY_D_std,EXPLAINABILITY_O_std,EXPLAINABILITY_S_std,EXPLAINABILITY_D_std,SAFETY_O_std,SAFETY_S_std,SAFETY_D_std,determinism_check
distilbert-base-uncased-finetuned-sst-2-english,3,42;1337;2025,6.3599,0.2166,0.5774,0.5774,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
google/vit-base-patch16-224,3,42;1337;2025,5.5667,0.0786,0.5774,0.5774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
philschmid/tiny-bert-sst2-distilled,3,42;1337;2025,6.4095,0.1605,0.5774,0.5774,0.0,0.0,0.5774,0.5774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,identical
prajjwal1/bert-tiny,3,42;1337;2025,4.236,0.0786,0.5774,0.5774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
textattack/bert-base-uncased-ag-news,3,42;1337;2025,5.3091,0.0787,0.5774,0.5774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
textattack/roberta-base-SST-2,3,42;1337;2025,5.2344,0.106,0.5774,0.5774,0.0,0.0,0.5774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
